sr,lat,lon,h_avg_field,h_pred_mean,h_pred_std,h_pred_min,h_pred_max,h_pred_median,n_pixels,coverage_ratio,tile_key
1,30.12714,78.25838,21.0,24.4992618560791,2.599924325942993,17.942537307739258,28.82984733581543,25.159393310546875,360,1.0,z18_188058_108047
2,30.12591,78.25545,23.0,26.010990142822266,4.510682582855225,12.532546997070312,31.47460174560547,27.618654251098633,576,1.0,z18_188055_108048
3,30.12571,78.25219,25.0,20.745290756225586,5.028338432312012,9.861093521118164,29.9279727935791,20.703838348388672,576,1.0,z18_188053_108048
4,30.12482,78.24848,18.9,28.75746726989746,3.8899941444396973,22.155681610107422,34.873504638671875,28.83685302734375,576,1.0,z18_188050_108049
5,30.124,78.24399,22.9,15.444948196411133,5.060161113739014,7.229948043823242,26.318603515625,14.75427532196045,576,1.0,z18_188047_108049
6,30.12352,78.24239,28.0,7.460426330566406,10.617382049560547,0.015479357913136482,28.810564041137695,0.15385200083255768,576,1.0,z18_188046_108050
7,30.12324,78.21408,21.1,28.045522689819336,1.5385379791259766,24.495758056640625,32.0722541809082,27.715551376342773,576,1.0,z18_188025_108050
8,30.11462,78.21178,28.0,27.945749282836914,2.2543506622314453,21.418594360351562,31.383377075195312,28.07243537902832,576,1.0,z18_188024_108057
9,30.11833,78.21266,26.0,29.079498291015625,1.4670796394348145,26.352676391601562,32.88182830810547,29.119415283203125,576,1.0,z18_188024_108054
10,30.11624,78.21386,25.0,26.490331649780273,3.3755271434783936,16.56743621826172,31.16534996032715,27.37084197998047,576,1.0,z18_188025_108056
11,30.11104,78.21126,24.0,27.468698501586914,2.5952463150024414,20.6617431640625,31.9119815826416,27.669822692871094,576,1.0,z18_188023_108060
12,30.11203,78.2173,24.0,25.459232330322266,5.27157735824585,15.864116668701172,33.44819641113281,26.774459838867188,576,1.0,z18_188028_108059
13,30.11513,78.22126,25.0,18.92778968811035,6.013541221618652,6.940060615539551,28.10015296936035,19.801118850708008,576,1.0,z18_188030_108057
14,30.11762,78.22585,27.0,18.127281188964844,4.259143829345703,10.194337844848633,27.30221176147461,18.416074752807617,576,1.0,z18_188034_108055
15,30.1147,78.23486,23.0,23.775596618652344,3.8610966205596924,13.736553192138672,32.12867736816406,24.630855560302734,600,1.0,z18_188040_108057
16,30.09903,78.24655,21.0,33.13734436035156,1.611629605293274,27.189163208007812,36.35129928588867,32.8677978515625,576,1.0,z18_188049_108070
17,30.16393,78.22347,24.0,22.148109436035156,4.0775651931762695,14.333776473999023,28.771024703979492,22.093116760253906,576,1.0,z18_188032_108016
18,30.16732,78.1899,22.0,28.65938377380371,2.45336651802063,10.899260520935059,31.401037216186523,28.998708724975586,576,1.0,z18_188008_108013
19,30.12172,78.17496,21.0,23.95157241821289,5.809121608734131,10.488231658935547,34.26372528076172,24.106277465820312,576,1.0,z18_187997_108051
20,30.12922,78.17127,15.0,11.766178131103516,4.114307880401611,2.313217878341675,19.573841094970703,12.349088668823242,600,1.0,z18_187994_108045
21,30.12954,78.17359,21.0,30.54856300354004,4.862191677093506,14.407392501831055,38.13030242919922,31.46608543395996,576,1.0,z18_187996_108045
22,30.09192,78.19826,27.0,30.801490783691406,3.257979393005371,21.402584075927734,36.335243225097656,31.377212524414062,576,1.0,z18_188014_108076
23,30.08774,78.20958,24.0,34.53907012939453,1.6332485675811768,30.345046997070312,37.04994201660156,34.580230712890625,576,1.0,z18_188022_108080
24,30.10013,78.21136,21.0,31.72686004638672,2.212519407272339,22.748638153076172,34.97117614746094,32.069793701171875,576,1.0,z18_188023_108069
25,30.16532,78.23998,24.0,33.407691955566406,2.95135235786438,25.062381744384766,37.33253479003906,34.14324188232422,576,1.0,z18_188044_108014
26,30.16502,78.24088,25.0,28.170658111572266,4.69753885269165,17.65036392211914,33.85828399658203,30.309080123901367,576,1.0,z18_188045_108015
27,30.15431,78.24398,28.0,28.11507225036621,2.7146859169006348,19.870403289794922,33.043922424316406,28.779491424560547,600,1.0,z18_188047_108024
28,30.14183,78.24697,20.0,30.49757957458496,2.3960378170013428,20.01702117919922,33.75827407836914,31.149066925048828,576,1.0,z18_188049_108034
29,30.1415,78.2462,24.0,10.46825885772705,8.895963668823242,0.018155746161937714,25.36001968383789,12.342905044555664,576,1.0,z18_188049_108035
30,30.13442,78.25039,24.0,22.798351287841797,3.056291103363037,15.596921920776367,27.66870880126953,22.99785614013672,400,1.0,z18_188052_108041
31,30.12912,78.25785,21.0,25.90641212463379,3.2691683769226074,16.19925308227539,30.117610931396484,26.43350601196289,576,1.0,z18_188057_108045
32,30.16201,78.21787,21.0,14.715523719787598,2.5233983993530273,9.00174331665039,19.055986404418945,14.944351196289062,576,1.0,z18_188028_108017
33,30.10421,78.17825,25.0,29.951581954956055,8.504343032836914,9.196990966796875,39.504364013671875,33.051570892333984,600,1.0,z18_187999_108066
34,30.20603,78.16357,26.0,29.80575942993164,2.3553404808044434,22.467201232910156,35.78071594238281,30.160934448242188,576,1.0,z18_187988_107980
35,30.20782,78.16715,22.0,23.38325309753418,3.570971965789795,13.290992736816406,32.23394012451172,22.984294891357422,576,1.0,z18_187991_107979
36,30.20983,78.16849,25.0,28.81563949584961,3.5690207481384277,19.88447380065918,33.15580749511719,30.39447021484375,576,1.0,z18_187992_107977
37,30.2148,78.18149,23.0,31.39995574951172,4.089358806610107,21.436655044555664,37.920326232910156,31.685779571533203,432,1.0,z18_188002_107973
38,30.2188,78.18719,22.0,31.24381446838379,3.9117395877838135,23.760135650634766,39.821502685546875,31.3524169921875,576,1.0,z18_188006_107969
39,30.21921,78.19969,29.0,28.209651947021484,2.674010992050171,21.985885620117188,31.995595932006836,28.764432907104492,576,1.0,z18_188015_107969
40,30.21432,78.20336,27.0,27.451324462890625,4.93208646774292,14.01249885559082,34.05287170410156,28.34310531616211,625,1.0,z18_188017_107973
41,30.23772,78.15269,23.0,0.013797317631542683,0.003918946720659733,0.010482599958777428,0.029623785987496376,0.011971626430749893,576,1.0,z18_187981_107953
42,30.23551,78.15275,18.0,0.12117157876491547,0.27232345938682556,0.013469986617565155,2.6896584033966064,0.05939320847392082,576,1.0,z18_187981_107955
43,30.22994,78.15156,23.0,17.38357162475586,6.0933074951171875,7.7242841720581055,29.738622665405273,16.59867286682129,576,1.0,z18_187980_107960
44,30.22433,78.1551,28.0,21.40594482421875,8.52604866027832,7.271717071533203,36.443241119384766,21.667057037353516,576,1.0,z18_187982_107965
45,30.22454,78.1687,28.0,15.01589298248291,6.622513294219971,0.13242563605308533,28.105478286743164,15.389654159545898,576,1.0,z18_187992_107965
46,30.22583,78.17629,24.0,29.062021255493164,3.650960922241211,17.641021728515625,33.30274200439453,30.700294494628906,384,1.0,z18_187998_107964
47,30.23333,78.18968,24.0,17.664703369140625,9.597702026367188,0.08655716478824615,31.800994873046875,21.049758911132812,576,1.0,z18_188007_107957
48,30.22284,78.19886,24.0,25.018096923828125,6.221837520599365,12.762537002563477,34.12928009033203,25.344919204711914,625,1.0,z18_188014_107966
49,30.24042,78.17935,26.8,33.14861297607422,2.2240476608276367,28.538475036621094,36.512733459472656,33.43548583984375,600,1.0,z18_188000_107951
50,30.24403,78.17946,25.2,27.74791717529297,4.352477073669434,16.559452056884766,34.84187698364258,28.718517303466797,600,1.0,z18_188000_107948
51,30.24894,78.18358,27.6,20.803470611572266,6.597927570343018,9.770051956176758,32.258155822753906,21.07596206665039,576,1.0,z18_188003_107944
52,30.25234,78.18878,23.4,30.588808059692383,7.247920989990234,11.643831253051758,40.18391418457031,33.24884796142578,600,1.0,z18_188007_107941
53,30.24553,78.195,25.0,25.17954444885254,4.78377628326416,14.118697166442871,33.14404296875,26.3768310546875,576,1.0,z18_188011_107947
54,30.2425,78.19467,23.6,29.273479461669922,1.710795521736145,22.961233139038086,32.38946533203125,29.670576095581055,600,1.0,z18_188011_107949
55,30.23784,78.18348,24.3,18.134254455566406,8.854727745056152,2.160001516342163,31.287378311157227,17.100479125976562,600,1.0,z18_188003_107953
56,30.20474,78.16459,24.6,25.71804428100586,4.875550270080566,15.845970153808594,35.209434509277344,24.319561004638672,576,1.0,z18_187989_107981
